Title,School,Location,Descripion,Language,Type,Style,Read_More,Deadline,Start,Duration
Master in Management and Industrial Strategy,ISEG - Lisbon School of Economics & Management,"Lisbon, Portugal","The main objectives of the Masters in Management and Industrial Strategy are to educate professional managers who are well prepared for the new organisation of the economy, an
                                            ...
                        
                            +
                        



                    Featured
                    



                The main objectives of the Masters in Management and Industrial Strategy are to educate professional managers who are well prepared for the new organisation of the economy, and for technological innovation, employing strategies of innovation, production, and operations. The degree aims to stimulate the perception of the organisation in economic structures and the interdependence of industry and services on a global scale, and also to teach students how to solve complex problems in the fields of technology innovation and the correct interpretation of the organisation of the value chain.
                
                    -",Portuguese,Master,Campus,https://www.masterstudies.com/Master-in-Management-and-Industrial-Strategy/Portugal/ISEG/,None,None,4 semesters
"Master of Arts in Arts, Technology, and Emerging Communication",The University of Texas at Dallas,"Richardson, USA","The MA in Arts, Technology, and Emerging Communication (ATEC) cultivates creative practitioners, scholars, and interdisciplinary researchers and is appropriate for candidates 
                                            ...
                        
                            +
                        



                    Featured
                    



                The MA in Arts, Technology, and Emerging Communication (ATEC) cultivates creative practitioners, scholars, and interdisciplinary researchers and is appropriate for candidates who want to advance their education through further study of technology and media or take an initial step toward a Ph.D. in related fields. Students are admitted to one of two pathways in the ATEC MA: (1). Interaction Design; (2). Emerging Media Studies.
                
                    -",English,MA,Campus,https://www.masterstudies.com//Master-of-Arts-in-Arts-Technology-and-Emerging-Communication/USA/The-University-of-Texas-at-Dallas/,None,Aug 2022,2 years
"Master of Fine Arts in Arts, Technology, and Emerging Communication",The University of Texas at Dallas,"Richardson, USA","The Master of Fine Arts in Arts, Technology, and Emerging Communication (ATEC) is a terminal degree for those who wish to teach arts and technology-related courses at the coll
                                            ...
                        
                            +
                        



                    Featured
                    



                The Master of Fine Arts in Arts, Technology, and Emerging Communication (ATEC) is a terminal degree for those who wish to teach arts and technology-related courses at the college level, as well as for those who intend to engage in a professional studio or design practice. Students are admitted to one of two pathways within the ATEC MFA: (1). Animation; (2). Creative Practice.
                
                    -",English,Master,Campus,https://www.masterstudies.com/Master-of-Fine-Arts-in-Arts-Technology-and-Emerging-Communication/USA/The-University-of-Texas-at-Dallas/,None,Aug 2022,2 years
Master of Science in Business Analytics,The University of Texas at Dallas,"Richardson, USA","The Master of Science in Business Analytics degree consists of a set of core courses and a set of electives organized into tracks: Accounting Analytics, Data Science, Decision
                                            ...
                        
                            +
                        



                    Featured
                    



                The Master of Science in Business Analytics degree consists of a set of core courses and a set of electives organized into tracks: Accounting Analytics, Data Science, Decision and Operations Analytics, Financial Analytics, Healthcare Analytics, IT for Analytics, and Marketing Analytics. In addition to teaching the core analytics concepts, the degree covers tools like SAS, R, Python, Hadoop, Stata, and Tableau. This is a STEM-designated program.
                
                    -",English,MSc,"Campus
Online",https://www.masterstudies.com/Master-of-Science-in-Business-Analytics/USA/The-University-of-Texas-at-Dallas/,None,May 2022,2 years
Master of Science in Computer Engineering,The University of Texas at Dallas,"Richardson, USA","The MS in Computer Engineering program prepares students for leadership roles in research, development, and design positions that require the use of skillful and imaginative s
                                            ...
                        
                            +
                        



                    Featured
                    



                The MS in Computer Engineering program prepares students for leadership roles in research, development, and design positions that require the use of skillful and imaginative solutions to engineering problems. The program has been carefully designed for students to gain a breadth of knowledge in software and hardware development, and it is flexible enough for students to specialize in the area of their choice.
                
                    -",English,MSc,Campus,https://www.masterstudies.com//Master-of-Science-in-Computer-Engineering/USA/The-University-of-Texas-at-Dallas/,None,May 2022,2 years
Master of Science in Computer Science,The University of Texas at Dallas,"Richardson, USA","The MS in Computer Science degree program offers intensive preparation in design programming, theory, and applications. Training is provided for both academically oriented stu
                                            ...
                        
                            +
                        



                    Featured
                    



                The MS in Computer Science degree program offers intensive preparation in design programming, theory, and applications. Training is provided for both academically oriented students and students with professional goals in the many businesses, industrial, and governmental occupations requiring advanced knowledge of computing theory and technology.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/Master-of-Science-in-Computer-Science/USA/The-University-of-Texas-at-Dallas/,None,May 2022,2 years
"Master of Science in Cyber Security, Technology and Policy",The University of Texas at Dallas,"Richardson, USA","Cyber threats and attacks are increasing in frequency and severity. The MS degree in Cyber Security, Technology and Policy provides the opportunity for both students with prio
                                            ...
                        
                            +
                        



                    Featured
                    



                Cyber threats and attacks are increasing in frequency and severity. The MS degree in Cyber Security, Technology and Policy provides the opportunity for both students with prior computer science experience and those coming from non-technical backgrounds to learn strategic, policy, and analytic aspects of cyber security.
                
                    -",English,MSc,Campus,,None,May 2022,2 years
Master of Science in Information Technology and Management,The University of Texas at Dallas,"Richardson, USA","The Master of Science in Information Technology and Management (MS I.T.M.) degree program consists of basic business courses, IT foundation courses, IT elective courses, and o
                                            ...
                        
                            +
                        



                    Featured
                    



                The Master of Science in Information Technology and Management (MS I.T.M.) degree program consists of basic business courses, IT foundation courses, IT elective courses, and other electives. Graduates of the program seek positions such as: IT manager, information systems analyst, and other IT positions in various industries.
                
                    -",English,MSc,"Online & Campus Combined
Campus
Online",https://www.masterstudies.com/Master-of-Science-in-Information-Technology-and-Management/USA/The-University-of-Texas-at-Dallas/,None,May 2022,2 years
Master of Science in Mathematics,The University of Texas at Dallas,"Richardson, USA","The Mathematics MS degree curriculum at The University of Texas at Dallas offers a balanced list of applied and theoretical courses and attractive electives. To satisfy the de
                                            ...
                        
                            +
                        



                    Featured
                    



                The Mathematics MS degree curriculum at The University of Texas at Dallas offers a balanced list of applied and theoretical courses and attractive electives. To satisfy the degree requirements, the Mathematical Sciences Department currently offers a choice between four tracks: Mathematics track, Applied Mathematics track, Mathematics for Decision and Engineering Sciences, and Data Science track.
                
                    -",English,MSc,Campus,https://www.masterstudies.com//Master-of-Science-in-Mathematics/USA/The-University-of-Texas-at-Dallas/,None,May 2022,2 years
Master of Science in Social Data Analytics and Research,The University of Texas at Dallas,"Richardson, USA","The MS in Social Data Analytics and Research endows students with a clear understanding of the processes involved in the creation, assembly, analysis, and interpretation of so
                                            ...
                        
                            +
                        



                    Featured
                    



                The MS in Social Data Analytics and Research endows students with a clear understanding of the processes involved in the creation, assembly, analysis, and interpretation of social science data. The MS in Social Data Analytics and Research orients itself to students wanting to apply social science concepts, principles, and methods to a broad range of questions in research-related and other professional engagements in government, nonprofit, and private sector settings that rely on social data for answers.
                
                    -",English,MSc,Campus,https://www.masterstudies.com//Master-of-Science-in-Social-Data-Analytics-and-Research/USA/The-University-of-Texas-at-Dallas/,None,May 2022,2 years
Master of Science in Software Engineering,The University of Texas at Dallas,"Richardson, USA","The Executive Master’s of Science in Software Engineering degree program provides practical professional education to software professionals, preparing them for positions of i
                                            ...
                        
                            +
                        



                    Featured
                    



                The Executive Master’s of Science in Software Engineering degree program provides practical professional education to software professionals, preparing them for positions of increasing responsibility throughout their careers. The 20-month program is designed to help transform the careers and effectiveness of software professionals.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/Master-of-Science-in-Software-Engineering/USA/The-University-of-Texas-at-Dallas/,None,May 2022,20 months
Master of Science in Information Studies,Trine University,"Angola, USA                                                        +2 More","The Master of Science in Information Studies online degree provides those with a bachelor’s degree in the technology field with the opportunity to develop technological leader
                                            ...
                        
                            +
                        



                    Featured
                    



                The Master of Science in Information Studies online degree provides those with a bachelor’s degree in the technology field with the opportunity to develop technological leadership in the analysis, design, development, maintenance, and operation of information systems.
                
                    -",English,MSc,Online,https://www.onlinestudies.com/Master-of-Science-in-Information-Studies/USA/Trine/,None,None,None
Master of Science in Computer Engineering,University of Parma,"Parma, Italy","The Master of Science in Computer Engineering aims to train a highly qualified professional figure, able to work in the Information and Automation Technologies and in all the 
                                            ...
                        
                            +
                        



                    Featured
                    



                The Master of Science in Computer Engineering aims to train a highly qualified professional figure, able to work in the Information and Automation Technologies and in all the application sectors that these technologies enable. The graduate will, therefore, be able, with his solid preparation, to face the challenges of a labour market that will offer important opportunities in the wake of the technological innovation of the information society.
                
                    -",Italian,MSc,"Online & Campus Combined
Campus
Online",https://www.masterstudies.com/Master-of-Science-in-Computer-Engineering/Italy/UParma/,None,None,2 years
Master Degree in Communication Engineering,University of Parma,"Parma, Italy","The Master of Science (M.S.) in Communication Engineering is a two-year graduate course. It aims to provide a thorough grounding in Information and Communication Technology (I
                                            ...
                        
                            +
                        



                    Featured
                    



                The Master of Science (M.S.) in Communication Engineering is a two-year graduate course. It aims to provide a thorough grounding in Information and Communication Technology (ICT) while emphasizing a methodological approach to the analysis and design of complex systems.
                
                    -",English,MSc,"Online & Campus Combined
Campus
Online",https://www.masterstudies.com/Master-Degree-in-Communication-Engineering/Italy/UParma/,None,None,2 years
Master of Science in Electronic Engineering,University of Parma,"Parma, Italy","This Master of Science in Electronic Engineering aims to produce graduates with a high level of specialization in the different electronics sectors, and with solid methodologi
                                            ...
                        
                            +
                        



                    Featured
                    



                This Master of Science in Electronic Engineering aims to produce graduates with a high level of specialization in the different electronics sectors, and with solid methodological foundations in the wider field of information engineering. Our objective is to help you develop the ability to understand, manage, and promote technological innovation while adapting to the rapid changes typical of high-technology sectors.
                
                    -",Italian,MSc,"Online & Campus Combined
Campus
Online",https://www.masterstudies.com/Master-of-Science-in-Electronic-Engineering/Italy/UParma/,None,None,2 years
M.Sc. Computer Science,University of Passau,"Passau, Germany","Those graduating with an M.Sc. in Computer Science are specialists in at least one field of computer science who have wide-ranging science-based methodological expertise.
                                    


                    Featured
                    



                Those graduating with an M.Sc. in Computer Science are specialists in at least one field of computer science who have wide-ranging science-based methodological expertise.
                
                    -","English,                                                                     German",MSc,Campus,https://www.masterstudies.com//M.Sc.-Computer-Science/Germany/Uni-Passau/,None,Apr 2022,4 - 6 semesters
M.Sc. Artificial Intelligence Engineering,University of Passau,"Passau, Germany","Artificial intelligence (AI) now permeates all areas of our lives and holds enormous potential for the future. Mathematics and computer science provide the foundations for und
                                            ...
                        
                            +
                        



                    Featured
                    



                Artificial intelligence (AI) now permeates all areas of our lives and holds enormous potential for the future. Mathematics and computer science provide the foundations for understanding and developing core AI technologies.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/M.Sc.-Artificial-Intelligence-Engineering/Germany/Uni-Passau/,None,Apr 2022,4 semesters
MSc Health Food Innovation Management,"Maastricht University, Campus Venlo","Venlo, Netherlands","The Master in Health Food Innovation Management prepares students to understand the process of innovation in the food and beverage industry, with a specific focus on improving
                                            ...
                        
                            +
                        



                    Featured
                    



                The Master in Health Food Innovation Management prepares students to understand the process of innovation in the food and beverage industry, with a specific focus on improving consumer health and healthy eating behaviour.
                
                    -",English,MSc,Campus,https://www.masterstudies.com//MSc-Health-Food-Innovation-Management/Netherlands/Maastricht-University-Campus-Venlo/,01 Jun 2022,Sep 2022,2 years
M.S. in Information Technology,North Carolina A&T State University,"Greensboro, USA","The field of Information Technology is today's fastest-growing profession. As information technology continues to advance rapidly, job offers in computing professions remain h
                                            ...
                        
                            +
                        



                    Featured
                    



                The field of Information Technology is today's fastest-growing profession. As information technology continues to advance rapidly, job offers in computing professions remain high. Our Information Technology program will give you an in-depth understanding of computer networking, database management, data mining, high-performance computing, low-power design, and wireless communication. By pursuing this Master of Science degree, you will gain the mastery and expertise necessary to succeed in the profession. This degree program is also offered online.
                
                    -",English,MSc,"Campus
Online",https://www.masterstudies.com/M.S.-in-Information-Technology/USA/North-Carolina-AandT-State-University/,01 Apr 2022,23 May 2022,2 years
Programación de Videojuegos y Realidad Virtual con Unity 3D,Tokio School,"Madrid, Spain","Gracias a este máster en programación de videojuegos con Unity 3D podrás realizar videojuegos completos (desde el diseño inicial hasta tu exportación a dispositivos reales par
                                            ...
                        
                            +
                        



                    Featured
                    



                Gracias a este máster en programación de videojuegos con Unity 3D podrás realizar videojuegos completos (desde el diseño inicial hasta tu exportación a dispositivos reales para su testeo o distribución) o experiencias interactivas profesionales. Manejarás el desarrollo de software de tecnologías, como la realidad virtual o realidad aumentada. Aprenderás a configurar niveles y escenarios aprovechando el potencial gráfico de Unity con modelos 3D, serás un as del movimiento mediante scripts.
                
                    -",Spanish,Master,Online,https://www.onlinestudies.com/Programación-de-Videojuegos-y-Realidad-Virtual-con-Unity-3D/Spain/Tokio-School/,None,Sep 2022,600 hours
Master in Information Systems and Technology Management,OBS Business School,"Barcelona, Spain                                                        +2 More","The Master in Information Systems and Technology Management provides academic, theoretical and practical knowledge for a better managerial professional performance. The progra
                                            ...
                        
                            +
                        



                    Featured
                    



                The Master in Information Systems and Technology Management provides academic, theoretical and practical knowledge for a better managerial professional performance. The program pays special attention to the definition of a good systems strategy as a means of managerial alignment.
                
                    -",Spanish,Master,Online,https://www.onlinestudies.com/Master-in-Information-Systems-and-Technology-Management/Spain/OBS/,None,May 2022,12 months
Master in Cybersecurity,OBS Business School,"Barcelona, Spain                                                        +2 More","OBS Master in Cybersecurity helps professionals and managers define strategies and learn about tools that allow them to work around data security, focused on ensuring continui
                                            ...
                        
                            +
                        



                    Featured
                    



                OBS Master in Cybersecurity helps professionals and managers define strategies and learn about tools that allow them to work around data security, focused on ensuring continuity in operations and permanence in the markets.
                
                    -",Spanish,Master,Online,https://www.onlinestudies.com/Master-in-Cybersecurity/Spain/OBS/,None,May 2022,12 months
Master in Industry 4.0 and Technological Implementation,OBS Business School,"Barcelona, Spain","The Master in Industry 4.0 and Technological Implementation allows you to obtain a transversal vision of the technologies throughout the different industrial processes to intr
                                            ...
                        
                            +
                        



                    Featured
                    



                The Master in Industry 4.0 and Technological Implementation allows you to obtain a transversal vision of the technologies throughout the different industrial processes to introduce the necessary tools in the new competitive environment and lead the transition towards the new Industry 4.0.
                
                    -",Spanish,Master,Online,https://www.onlinestudies.com/Master-in-Industry-4.0-and-Technological-Implementation/Spain/OBS/,None,May 2022,12 months
Master of Management Information Systems,Edith Cowan University,"Joondalup, Australia","This course is relevant to both information technology (IT) and non-IT professionals who wish to develop their skills in relation to information and communications technology 
                                            ...
                        
                            +
                        



                    Featured
                    



                This course is relevant to both information technology (IT) and non-IT professionals who wish to develop their skills in relation to information and communications technology and their application to business.
                
                    -",English,"Master
                                                            Master","Campus
Online",https://www.masterstudies.com/Master-of-Management-Information-Systems/Australia/Edith-Cowan-University/,None,None,4 semesters
Master of Marketing and Innovation Management,Edith Cowan University,"Joondalup, Australia","The Master of Marketing and Innovation Management is a unique course in Western Australia, developing marketing managers who are able to tackle complex business cases in natio
                                            ...
                        
                            +
                        



                    Featured
                    



                The Master of Marketing and Innovation Management is a unique course in Western Australia, developing marketing managers who are able to tackle complex business cases in national and international contexts.
                
                    -",English,"Master
                                                            Master","Campus
Online",https://www.masterstudies.com/Master-of-Marketing-and-Innovation-Management/Australia/Edith-Cowan-University/,None,None,4 semesters
Master of Engineering,Edith Cowan University,"Joondalup, Australia","This degree is for those who have a non-Professionally Accredited engineering or technology degree and wish to upgrade to a Professionally Accredited engineering qualification
                                            ...
                        
                            +
                        



                    Featured
                    



                This degree is for those who have a non-Professionally Accredited engineering or technology degree and wish to upgrade to a Professionally Accredited engineering qualification or wish to branch out into another area of specialisation.
                
                    -",English,Master,Campus,https://www.masterstudies.com/Master-of-Engineering/Australia/Edith-Cowan-University/,None,None,4 semesters
Master of Computer Science,Edith Cowan University,"Joondalup, Australia","This master by coursework degree is designed to meet the demand for computing experts in an ever-evolving digital industry landscape.
                                    


                    Featured
                    



                This master by coursework degree is designed to meet the demand for computing experts in an ever-evolving digital industry landscape.
                
                    -",English,"Master
                                                            Master","Campus
Online",https://www.masterstudies.com/Master-of-Computer-Science/Australia/Edith-Cowan-University/,None,None,4 semesters
Master of Cyber Security,Edith Cowan University,"Joondalup, Australia","This Masters by Coursework degree is designed to meet the demand for cybersecurity professionals within government, law enforcement and industry.
                                    


                    Featured
                    



                This Masters by Coursework degree is designed to meet the demand for cybersecurity professionals within government, law enforcement and industry.
                
                    -",English,Master,Campus,https://www.masterstudies.com/Master-of-Cyber-Security/Australia/Edith-Cowan-University/,None,None,4 semesters
M.Sc. in Cognitive Systems,Open University Of Cyprus,"Cyprus Online, Cyprus","To teach the new paradigm of cognitive computing, the M.Sc. Program in Cognitive Systems brings together two main scientific areas: Cognitive Psychology, and Artificial Intell
                                            ...
                        
                            +
                        



                    Featured
                    



                To teach the new paradigm of cognitive computing, the M.Sc. Program in Cognitive Systems brings together two main scientific areas: Cognitive Psychology, and Artificial Intelligence in Computer Science. Aiming, on the one hand, for the prospective students to understand the basis for human cognition, the Program is strongly influenced by Cognitive Psychology and includes learning modules that explore the fundamentals of perception, learning, mental representation, and reasoning in humans. Aiming, on the other hand, for the prospective students to be able to design cognitive systems, the Program places its emphasis on the investigation of computational methods and tools for understanding and designing cognitive systems, and includes learning modules from Connectionist and Symbolic Artificial Intelligence, from Machine Learning, and learning modules on recent developments in Cognitive Computing.
                
                    -",English,Master,Online,https://www.onlinestudies.com/M.Sc.-in-Cognitive-Systems/Cyprus/Open-University-Of-Cyprus/,24 May 2022,Sep 2023,2 years
MSc Robotics,Heriot-Watt University Dubai,"Academic City, United Arab Emirates","The MSc Robotics at Heriot-Watt will provide the students with training in core elements of modern robotics and autonomous systems. This one year postgraduate masters degree i
                                            ...
                        
                            +
                        



                    Featured
                    



                The MSc Robotics at Heriot-Watt will provide the students with training in core elements of modern robotics and autonomous systems. This one year postgraduate masters degree in Robotics will equip students to work in industry in areas where robots can be used to improve productivity, transform transportation, work in extreme environments and improve the quality of life.
                
                    -",English,MSc,Campus,https://www.masterstudies.com//MSc-Robotics/United-Arab-Emirates/Heriot-Watt-University-Dubai/,None,Sep 2022,None
"MA in International Retail Business, Sustainability & Technologies","Goldsmiths, University of London","London, United Kingdom","The MA International Retail Business, Sustainability and Technologies combines retail business/management studies with a deep exploration of sustainability principles and prac
                                            ...
                        
                            +
                        



                    Featured
                    



                The MA International Retail Business, Sustainability and Technologies combines retail business/management studies with a deep exploration of sustainability principles and practice, technological solutions to contemporary challenges, and building the requisite skills of leadership to drive these solutions forward. The programme differs from conventional retail management courses which exclusively or predominantly focus on the narrow 'management' aspects of retail business. Instead, we adopt a multi-disciplinary approach that introduces you to a diverse range of contemporary issues and provides knowledge and professional skills in cutting-edge solutions based on three core areas of expertise: International Retail Business, Sustainability and Leadership, and Retail Data and Technology.
                
                    -",English,MA,Campus,https://www.masterstudies.com//MA-in-International-Retail-Business-Sustainability-and-Technologies/United-Kingdom/Goldsmiths-University-of-London/,None,Aug 2022,None
Master in Digital Risk Management and Cybersecurity Specialty in Business Continuity,EALDE Business School,"مجتمع مدريد, Spain","The Master in Digital Risk Management and Cybersecurity, specializing in Business Continuity, is an online master that allows you to obtain your own qualification with interna
                                            ...
                        
                            +
                        



                    Featured
                    



                The Master in Digital Risk Management and Cybersecurity, specializing in Business Continuity, is an online master that allows you to obtain your own qualification with international validity. It is an ambitious training program, combining risk management, information security and business continuity. The curriculum of this online master's degree is designed to adapt to the demand of companies, which request qualified professionals in IT security and risk management. Therefore, in addition to technical knowledge, the master transmits skills to devise and execute business continuity plans that help mitigate the risks that endanger the continuity of companies.
                
                    -",Spanish,Master,Online,https://www.onlinestudies.com/Master-in-Digital-Risk-Management-and-Cybersecurity-Specialty-in-Business-Continuity/Spain/EALDE-Business-School/,None,None,12 months
Máster en Industria 4.0,EALDE Business School,"مجتمع مدريد, Spain","El Máster en Industria 4.0 es un programa que surge ante la necesidad de las empresas de contar con profesionales capaces de transformar su negocio a través de las nuevas tecn
                                            ...
                        
                            +
                        



                    Featured
                    



                El Máster en Industria 4.0 es un programa que surge ante la necesidad de las empresas de contar con profesionales capaces de transformar su negocio a través de las nuevas tecnologías. El objetivo del programa de un año de duración es ofrecer una visión global de la nueva revolución 4.0 y aportar un conocimiento diferenciador para encontrar nuevas oportunidades en un entorno en el que la digitalización y la automatización ganan cada vez más terreno.
                
                    -",Spanish,Master,Campus,https://www.masterstudies.com/Máster-en-Industria-4.0/Spain/EALDE-Business-School/,None,Mar 2022,1500 hours
MSc in Computer Science (By Research),Sunway University,"Shah Alam, Malaysia","The MSc in Computer Science program will train you to carry out research in current and emerging fields within the Information Technology industry. With the aim of expanding y
                                            ...
                        
                            +
                        



                    Featured
                    



                The MSc in Computer Science program will train you to carry out research in current and emerging fields within the Information Technology industry. With the aim of expanding your intellect by nurturing advanced knowledge in specialist technical subject areas, our focus is to enable you to lead future developments be it in the industry or in academia. You will be integrated as members of our research groups at Sunway University with various opportunities to participate in research alongside your supervisors through seminars, workshops, laboratory experiments, and fieldwork. Graduates of the MSc in Computer Science will have competencies in theory and practice of ICT and Computer Science. They will be well-equipped with analytical and problem-solving skills to work as senior consultants or in managerial positions in their field of study.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/MSc-in-Computer-Science-(By-Research)/Malaysia/Sunway-University/,None,None,2 years
MSc in Information Systems (By Research),Sunway University,"Shah Alam, Malaysia","Information systems are a critical part of an organization’s IT infrastructure. IT professionals, who can manage information resources, understand the technology and systems, 
                                            ...
                        
                            +
                        



                    Featured
                    



                Information systems are a critical part of an organization’s IT infrastructure. IT professionals, who can manage information resources, understand the technology and systems, are key to successful modern enterprises. This program is strategically positioned to enable you to undertake information systems research that is theoretically and methodologically rigorous and enables you to develop your capability to plan, organize and carry out research studies at the master’s level. It extends your knowledge of research in your chosen area and builds your skills in communicating your research work. On successful completion of the program, the graduates will also be awarded a degree from Lancaster University. They will be awarded two certificates, making them graduates of both Sunway University and Lancaster University.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/MSc-in-Information-Systems-(By-Research)/Malaysia/Sunway-University/,None,None,2 years
Master of Arts in Social Entrepreneurship and Innovation Management,Lingnan University,"Tuen Mun, Hong Kong","The Master of Arts in Social Entrepreneurship and Innovation Management (SEIM) is designed for students who are working or aspiring to a career in non-governmental organisatio
                                            ...
                        
                            +
                        



                    Featured
                    



                The Master of Arts in Social Entrepreneurship and Innovation Management (SEIM) is designed for students who are working or aspiring to a career in non-governmental organisations or corporations with a strong social mission. Through this 1-year master programme, students will gain knowledge and skills to address the challenges of innovation and technological changes in today's fast-changing society. Students will not only learn to drive innovation but also how new ventures and enterprises are set up and managed in a sustainable way. Unlike traditional lecture-based master’s degrees, this programme combines both theoretical and practical teaching, allowing learners to gain invaluable hands-on experience and knowledge to become problem-solvers for a better society.
                
                    -","English,                                                                     Chinese",MA,Campus,https://www.masterstudies.com/Master-of-Arts-in-Social-Entrepreneurship-and-Innovation-Management/Hong-Kong/LU/,30 Jun 2022,None,None
Master of Science in Artificial Intelligence and Business Analytics,Lingnan University,"Tuen Mun, Hong Kong","The Master of Science in Artificial Intelligence and Business Analytics (MScAIBA) emphasizes a balanced coverage of subjects in AI and business analytics, as well as focuses o
                                            ...
                        
                            +
                        



                    Featured
                    



                The Master of Science in Artificial Intelligence and Business Analytics (MScAIBA) emphasizes a balanced coverage of subjects in AI and business analytics, as well as focuses on business data analytics by using AI techniques to solve practical business problems.
                
                    -",English,MSc,Campus,https://www.masterstudies.com//Master-of-Science-in-Artificial-Intelligence-and-Business-Analytics/Hong-Kong/LU/,30 Apr 2022,Sep 2022,None
MSc in Artificial Intelligence,Heriot-Watt University Dubai,"Academic City, United Arab Emirates","Our MSc in Artificial Intelligence aims to impart the understanding and skills to develop intelligent software applications, such as those involving evolutionary computation a
                                            ...
                        
                            +
                        



                    Featured
                    



                Our MSc in Artificial Intelligence aims to impart the understanding and skills to develop intelligent software applications, such as those involving evolutionary computation and learning. Students will develop skills in specialist areas with clear applications in industry, including data mining, pattern recognition and machine learning. The MSc project in some cases can be carried out in collaboration with an outside industrial or academic organisation.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/MSc-in-Artificial-Intelligence/United-Arab-Emirates/Heriot-Watt-University-Dubai/,None,None,None
MSc in Business Information Management,Heriot-Watt University Dubai,"Academic City, United Arab Emirates","Our MSc Business Information Management programme offers a strong and fairly unique combination of practical, analytical and theoretical courses. It will build your expertise 
                                            ...
                        
                            +
                        



                    Featured
                    



                Our MSc Business Information Management programme offers a strong and fairly unique combination of practical, analytical and theoretical courses. It will build your expertise and provide comprehensive training across business management and software engineering.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/MSc-in-Business-Information-Management/United-Arab-Emirates/Heriot-Watt-University-Dubai/,None,None,None
MSc in Data Science,Heriot-Watt University Dubai,"Academic City, United Arab Emirates","You will learn how to model, store and process these data sets using the latest algorithms and techniques and about modern methods and tools for visually exploring them. The c
                                            ...
                        
                            +
                        



                    Featured
                    



                You will learn how to model, store and process these data sets using the latest algorithms and techniques and about modern methods and tools for visually exploring them. The core courses of the programme provide the key skillset of a data scientist: applying machine learning, managing large data sets, and generating interesting visualisations. The skills acquired will be applicable to business applications, industrial applications and also to scientific data exploration.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/MSc-in-Data-Science/United-Arab-Emirates/Heriot-Watt-University-Dubai/,None,None,None
MSc in Information Technology (Business),Heriot-Watt University Dubai,"Academic City, United Arab Emirates","This programme aims to impart understanding and skills in key business management and information technology subjects at Master’s level. It covers the design and development o
                                            ...
                        
                            +
                        



                    Featured
                    



                This programme aims to impart understanding and skills in key business management and information technology subjects at Master’s level. It covers the design and development of IT systems, the management of IT projects, the digital economy and the development of business applications.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/MSc-in-Information-Technology-(Business)/United-Arab-Emirates/Heriot-Watt-University-Dubai/,None,None,None
MSc in Information Technology (Software Systems),Heriot-Watt University Dubai,"Academic City, United Arab Emirates","The aim of both the MSc and the Postgraduate Diploma in Information Technology (Software Systems) is to educate software engineers. The programme is concerned with the use and
                                            ...
                        
                            +
                        



                    Featured
                    



                The aim of both the MSc and the Postgraduate Diploma in Information Technology (Software Systems) is to educate software engineers. The programme is concerned with the use and application of information technology in the specification, design, development and deployment of software. Throughout the programme, you will implement software solutions to remedy practical problems and put into practice the theoretical concepts learned in lectures.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/MSc-in-Information-Technology-(Software-Systems)/United-Arab-Emirates/Heriot-Watt-University-Dubai/,None,None,None
